placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-27 00:00:00,2024-11-27 01:00:00,0
fukui-station-east-entrance,Person,2024-11-27 01:00:00,2024-11-27 02:00:00,0
fukui-station-east-entrance,Person,2024-11-27 02:00:00,2024-11-27 03:00:00,0
fukui-station-east-entrance,Person,2024-11-27 03:00:00,2024-11-27 04:00:00,0
fukui-station-east-entrance,Person,2024-11-27 04:00:00,2024-11-27 05:00:00,0
fukui-station-east-entrance,Person,2024-11-27 05:00:00,2024-11-27 06:00:00,32
fukui-station-east-entrance,Person,2024-11-27 06:00:00,2024-11-27 07:00:00,92
fukui-station-east-entrance,Person,2024-11-27 07:00:00,2024-11-27 08:00:00,235
fukui-station-east-entrance,Person,2024-11-27 08:00:00,2024-11-27 09:00:00,521
fukui-station-east-entrance,Person,2024-11-27 09:00:00,2024-11-27 10:00:00,1103
fukui-station-east-entrance,Person,2024-11-27 10:00:00,2024-11-27 11:00:00,1051
fukui-station-east-entrance,Person,2024-11-27 11:00:00,2024-11-27 12:00:00,1142
fukui-station-east-entrance,Person,2024-11-27 12:00:00,2024-11-27 13:00:00,1233
fukui-station-east-entrance,Person,2024-11-27 13:00:00,2024-11-27 14:00:00,883
fukui-station-east-entrance,Person,2024-11-27 14:00:00,2024-11-27 15:00:00,849
fukui-station-east-entrance,Person,2024-11-27 15:00:00,2024-11-27 16:00:00,1147
fukui-station-east-entrance,Person,2024-11-27 16:00:00,2024-11-27 17:00:00,1076
fukui-station-east-entrance,Person,2024-11-27 17:00:00,2024-11-27 18:00:00,979
fukui-station-east-entrance,Person,2024-11-27 18:00:00,2024-11-27 19:00:00,748
fukui-station-east-entrance,Person,2024-11-27 19:00:00,2024-11-27 20:00:00,286
fukui-station-east-entrance,Person,2024-11-27 20:00:00,2024-11-27 21:00:00,190
fukui-station-east-entrance,Person,2024-11-27 21:00:00,2024-11-27 22:00:00,144
fukui-station-east-entrance,Person,2024-11-27 22:00:00,2024-11-27 23:00:00,47
fukui-station-east-entrance,Person,2024-11-27 23:00:00,2024-11-28 00:00:00,0
