placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-24 00:00:00,2024-11-24 01:00:00,0
fukui-station-east-entrance,Person,2024-11-24 01:00:00,2024-11-24 02:00:00,0
fukui-station-east-entrance,Person,2024-11-24 02:00:00,2024-11-24 03:00:00,0
fukui-station-east-entrance,Person,2024-11-24 03:00:00,2024-11-24 04:00:00,0
fukui-station-east-entrance,Person,2024-11-24 04:00:00,2024-11-24 05:00:00,0
fukui-station-east-entrance,Person,2024-11-24 05:00:00,2024-11-24 06:00:00,20
fukui-station-east-entrance,Person,2024-11-24 06:00:00,2024-11-24 07:00:00,232
fukui-station-east-entrance,Person,2024-11-24 07:00:00,2024-11-24 08:00:00,352
fukui-station-east-entrance,Person,2024-11-24 08:00:00,2024-11-24 09:00:00,928
fukui-station-east-entrance,Person,2024-11-24 09:00:00,2024-11-24 10:00:00,1398
fukui-station-east-entrance,Person,2024-11-24 10:00:00,2024-11-24 11:00:00,1956
fukui-station-east-entrance,Person,2024-11-24 11:00:00,2024-11-24 12:00:00,1888
fukui-station-east-entrance,Person,2024-11-24 12:00:00,2024-11-24 13:00:00,2258
fukui-station-east-entrance,Person,2024-11-24 13:00:00,2024-11-24 14:00:00,2205
fukui-station-east-entrance,Person,2024-11-24 14:00:00,2024-11-24 15:00:00,2009
fukui-station-east-entrance,Person,2024-11-24 15:00:00,2024-11-24 16:00:00,1760
fukui-station-east-entrance,Person,2024-11-24 16:00:00,2024-11-24 17:00:00,2006
fukui-station-east-entrance,Person,2024-11-24 17:00:00,2024-11-24 18:00:00,1422
fukui-station-east-entrance,Person,2024-11-24 18:00:00,2024-11-24 19:00:00,880
fukui-station-east-entrance,Person,2024-11-24 19:00:00,2024-11-24 20:00:00,273
fukui-station-east-entrance,Person,2024-11-24 20:00:00,2024-11-24 21:00:00,340
fukui-station-east-entrance,Person,2024-11-24 21:00:00,2024-11-24 22:00:00,125
fukui-station-east-entrance,Person,2024-11-24 22:00:00,2024-11-24 23:00:00,72
fukui-station-east-entrance,Person,2024-11-24 23:00:00,2024-11-25 00:00:00,6
