placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-16 00:00:00,2024-11-16 01:00:00,0
fukui-station-east-entrance,Person,2024-11-16 01:00:00,2024-11-16 02:00:00,0
fukui-station-east-entrance,Person,2024-11-16 02:00:00,2024-11-16 03:00:00,0
fukui-station-east-entrance,Person,2024-11-16 03:00:00,2024-11-16 04:00:00,0
fukui-station-east-entrance,Person,2024-11-16 04:00:00,2024-11-16 05:00:00,0
fukui-station-east-entrance,Person,2024-11-16 05:00:00,2024-11-16 06:00:00,53
fukui-station-east-entrance,Person,2024-11-16 06:00:00,2024-11-16 07:00:00,306
fukui-station-east-entrance,Person,2024-11-16 07:00:00,2024-11-16 08:00:00,329
fukui-station-east-entrance,Person,2024-11-16 08:00:00,2024-11-16 09:00:00,888
fukui-station-east-entrance,Person,2024-11-16 09:00:00,2024-11-16 10:00:00,1503
fukui-station-east-entrance,Person,2024-11-16 10:00:00,2024-11-16 11:00:00,1244
fukui-station-east-entrance,Person,2024-11-16 11:00:00,2024-11-16 12:00:00,1635
fukui-station-east-entrance,Person,2024-11-16 12:00:00,2024-11-16 13:00:00,1609
fukui-station-east-entrance,Person,2024-11-16 13:00:00,2024-11-16 14:00:00,1630
fukui-station-east-entrance,Person,2024-11-16 14:00:00,2024-11-16 15:00:00,1617
fukui-station-east-entrance,Person,2024-11-16 15:00:00,2024-11-16 16:00:00,2023
fukui-station-east-entrance,Person,2024-11-16 16:00:00,2024-11-16 17:00:00,1888
fukui-station-east-entrance,Person,2024-11-16 17:00:00,2024-11-16 18:00:00,1158
fukui-station-east-entrance,Person,2024-11-16 18:00:00,2024-11-16 19:00:00,880
fukui-station-east-entrance,Person,2024-11-16 19:00:00,2024-11-16 20:00:00,386
fukui-station-east-entrance,Person,2024-11-16 20:00:00,2024-11-16 21:00:00,335
fukui-station-east-entrance,Person,2024-11-16 21:00:00,2024-11-16 22:00:00,221
fukui-station-east-entrance,Person,2024-11-16 22:00:00,2024-11-16 23:00:00,124
fukui-station-east-entrance,Person,2024-11-16 23:00:00,2024-11-17 00:00:00,1
