placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-09 00:00:00,2024-11-09 01:00:00,0
fukui-station-east-entrance,Person,2024-11-09 01:00:00,2024-11-09 02:00:00,0
fukui-station-east-entrance,Person,2024-11-09 02:00:00,2024-11-09 03:00:00,0
fukui-station-east-entrance,Person,2024-11-09 03:00:00,2024-11-09 04:00:00,0
fukui-station-east-entrance,Person,2024-11-09 04:00:00,2024-11-09 05:00:00,0
fukui-station-east-entrance,Person,2024-11-09 05:00:00,2024-11-09 06:00:00,94
fukui-station-east-entrance,Person,2024-11-09 06:00:00,2024-11-09 07:00:00,402
fukui-station-east-entrance,Person,2024-11-09 07:00:00,2024-11-09 08:00:00,446
fukui-station-east-entrance,Person,2024-11-09 08:00:00,2024-11-09 09:00:00,739
fukui-station-east-entrance,Person,2024-11-09 09:00:00,2024-11-09 10:00:00,1102
fukui-station-east-entrance,Person,2024-11-09 10:00:00,2024-11-09 11:00:00,1016
fukui-station-east-entrance,Person,2024-11-09 11:00:00,2024-11-09 12:00:00,1433
fukui-station-east-entrance,Person,2024-11-09 12:00:00,2024-11-09 13:00:00,1300
fukui-station-east-entrance,Person,2024-11-09 13:00:00,2024-11-09 14:00:00,1310
fukui-station-east-entrance,Person,2024-11-09 14:00:00,2024-11-09 15:00:00,1333
fukui-station-east-entrance,Person,2024-11-09 15:00:00,2024-11-09 16:00:00,1786
fukui-station-east-entrance,Person,2024-11-09 16:00:00,2024-11-09 17:00:00,1241
fukui-station-east-entrance,Person,2024-11-09 17:00:00,2024-11-09 18:00:00,839
fukui-station-east-entrance,Person,2024-11-09 18:00:00,2024-11-09 19:00:00,820
fukui-station-east-entrance,Person,2024-11-09 19:00:00,2024-11-09 20:00:00,533
fukui-station-east-entrance,Person,2024-11-09 20:00:00,2024-11-09 21:00:00,281
fukui-station-east-entrance,Person,2024-11-09 21:00:00,2024-11-09 22:00:00,288
fukui-station-east-entrance,Person,2024-11-09 22:00:00,2024-11-09 23:00:00,124
fukui-station-east-entrance,Person,2024-11-09 23:00:00,2024-11-10 00:00:00,1
