placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-25 00:00:00,2024-11-25 01:00:00,0
fukui-station-east-entrance,Person,2024-11-25 01:00:00,2024-11-25 02:00:00,0
fukui-station-east-entrance,Person,2024-11-25 02:00:00,2024-11-25 03:00:00,0
fukui-station-east-entrance,Person,2024-11-25 03:00:00,2024-11-25 04:00:00,0
fukui-station-east-entrance,Person,2024-11-25 04:00:00,2024-11-25 05:00:00,0
fukui-station-east-entrance,Person,2024-11-25 05:00:00,2024-11-25 06:00:00,34
fukui-station-east-entrance,Person,2024-11-25 06:00:00,2024-11-25 07:00:00,204
fukui-station-east-entrance,Person,2024-11-25 07:00:00,2024-11-25 08:00:00,392
fukui-station-east-entrance,Person,2024-11-25 08:00:00,2024-11-25 09:00:00,543
fukui-station-east-entrance,Person,2024-11-25 09:00:00,2024-11-25 10:00:00,757
fukui-station-east-entrance,Person,2024-11-25 10:00:00,2024-11-25 11:00:00,966
fukui-station-east-entrance,Person,2024-11-25 11:00:00,2024-11-25 12:00:00,891
fukui-station-east-entrance,Person,2024-11-25 12:00:00,2024-11-25 13:00:00,873
fukui-station-east-entrance,Person,2024-11-25 13:00:00,2024-11-25 14:00:00,882
fukui-station-east-entrance,Person,2024-11-25 14:00:00,2024-11-25 15:00:00,897
fukui-station-east-entrance,Person,2024-11-25 15:00:00,2024-11-25 16:00:00,1045
fukui-station-east-entrance,Person,2024-11-25 16:00:00,2024-11-25 17:00:00,1208
fukui-station-east-entrance,Person,2024-11-25 17:00:00,2024-11-25 18:00:00,757
fukui-station-east-entrance,Person,2024-11-25 18:00:00,2024-11-25 19:00:00,596
fukui-station-east-entrance,Person,2024-11-25 19:00:00,2024-11-25 20:00:00,281
fukui-station-east-entrance,Person,2024-11-25 20:00:00,2024-11-25 21:00:00,195
fukui-station-east-entrance,Person,2024-11-25 21:00:00,2024-11-25 22:00:00,144
fukui-station-east-entrance,Person,2024-11-25 22:00:00,2024-11-25 23:00:00,61
fukui-station-east-entrance,Person,2024-11-25 23:00:00,2024-11-26 00:00:00,1
