placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-13 00:00:00,2024-11-13 01:00:00,0
fukui-station-east-entrance,Person,2024-11-13 01:00:00,2024-11-13 02:00:00,0
fukui-station-east-entrance,Person,2024-11-13 02:00:00,2024-11-13 03:00:00,0
fukui-station-east-entrance,Person,2024-11-13 03:00:00,2024-11-13 04:00:00,0
fukui-station-east-entrance,Person,2024-11-13 04:00:00,2024-11-13 05:00:00,0
fukui-station-east-entrance,Person,2024-11-13 05:00:00,2024-11-13 06:00:00,35
fukui-station-east-entrance,Person,2024-11-13 06:00:00,2024-11-13 07:00:00,150
fukui-station-east-entrance,Person,2024-11-13 07:00:00,2024-11-13 08:00:00,228
fukui-station-east-entrance,Person,2024-11-13 08:00:00,2024-11-13 09:00:00,617
fukui-station-east-entrance,Person,2024-11-13 09:00:00,2024-11-13 10:00:00,883
fukui-station-east-entrance,Person,2024-11-13 10:00:00,2024-11-13 11:00:00,803
fukui-station-east-entrance,Person,2024-11-13 11:00:00,2024-11-13 12:00:00,794
fukui-station-east-entrance,Person,2024-11-13 12:00:00,2024-11-13 13:00:00,1230
fukui-station-east-entrance,Person,2024-11-13 13:00:00,2024-11-13 14:00:00,976
fukui-station-east-entrance,Person,2024-11-13 14:00:00,2024-11-13 15:00:00,1067
fukui-station-east-entrance,Person,2024-11-13 15:00:00,2024-11-13 16:00:00,1272
fukui-station-east-entrance,Person,2024-11-13 16:00:00,2024-11-13 17:00:00,1165
fukui-station-east-entrance,Person,2024-11-13 17:00:00,2024-11-13 18:00:00,796
fukui-station-east-entrance,Person,2024-11-13 18:00:00,2024-11-13 19:00:00,508
fukui-station-east-entrance,Person,2024-11-13 19:00:00,2024-11-13 20:00:00,253
fukui-station-east-entrance,Person,2024-11-13 20:00:00,2024-11-13 21:00:00,269
fukui-station-east-entrance,Person,2024-11-13 21:00:00,2024-11-13 22:00:00,138
fukui-station-east-entrance,Person,2024-11-13 22:00:00,2024-11-13 23:00:00,40
fukui-station-east-entrance,Person,2024-11-13 23:00:00,2024-11-14 00:00:00,4
