placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-18 00:00:00,2024-11-18 01:00:00,0
fukui-station-east-entrance,Person,2024-11-18 01:00:00,2024-11-18 02:00:00,0
fukui-station-east-entrance,Person,2024-11-18 02:00:00,2024-11-18 03:00:00,0
fukui-station-east-entrance,Person,2024-11-18 03:00:00,2024-11-18 04:00:00,0
fukui-station-east-entrance,Person,2024-11-18 04:00:00,2024-11-18 05:00:00,0
fukui-station-east-entrance,Person,2024-11-18 05:00:00,2024-11-18 06:00:00,35
fukui-station-east-entrance,Person,2024-11-18 06:00:00,2024-11-18 07:00:00,112
fukui-station-east-entrance,Person,2024-11-18 07:00:00,2024-11-18 08:00:00,363
fukui-station-east-entrance,Person,2024-11-18 08:00:00,2024-11-18 09:00:00,499
fukui-station-east-entrance,Person,2024-11-18 09:00:00,2024-11-18 10:00:00,812
fukui-station-east-entrance,Person,2024-11-18 10:00:00,2024-11-18 11:00:00,880
fukui-station-east-entrance,Person,2024-11-18 11:00:00,2024-11-18 12:00:00,1106
fukui-station-east-entrance,Person,2024-11-18 12:00:00,2024-11-18 13:00:00,1247
fukui-station-east-entrance,Person,2024-11-18 13:00:00,2024-11-18 14:00:00,1115
fukui-station-east-entrance,Person,2024-11-18 14:00:00,2024-11-18 15:00:00,878
fukui-station-east-entrance,Person,2024-11-18 15:00:00,2024-11-18 16:00:00,960
fukui-station-east-entrance,Person,2024-11-18 16:00:00,2024-11-18 17:00:00,883
fukui-station-east-entrance,Person,2024-11-18 17:00:00,2024-11-18 18:00:00,973
fukui-station-east-entrance,Person,2024-11-18 18:00:00,2024-11-18 19:00:00,734
fukui-station-east-entrance,Person,2024-11-18 19:00:00,2024-11-18 20:00:00,310
fukui-station-east-entrance,Person,2024-11-18 20:00:00,2024-11-18 21:00:00,199
fukui-station-east-entrance,Person,2024-11-18 21:00:00,2024-11-18 22:00:00,132
fukui-station-east-entrance,Person,2024-11-18 22:00:00,2024-11-18 23:00:00,56
fukui-station-east-entrance,Person,2024-11-18 23:00:00,2024-11-19 00:00:00,2
