placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-26 00:00:00,2024-11-26 01:00:00,0
fukui-station-east-entrance,Person,2024-11-26 01:00:00,2024-11-26 02:00:00,0
fukui-station-east-entrance,Person,2024-11-26 02:00:00,2024-11-26 03:00:00,0
fukui-station-east-entrance,Person,2024-11-26 03:00:00,2024-11-26 04:00:00,0
fukui-station-east-entrance,Person,2024-11-26 04:00:00,2024-11-26 05:00:00,0
fukui-station-east-entrance,Person,2024-11-26 05:00:00,2024-11-26 06:00:00,12
fukui-station-east-entrance,Person,2024-11-26 06:00:00,2024-11-26 07:00:00,86
fukui-station-east-entrance,Person,2024-11-26 07:00:00,2024-11-26 08:00:00,330
fukui-station-east-entrance,Person,2024-11-26 08:00:00,2024-11-26 09:00:00,623
fukui-station-east-entrance,Person,2024-11-26 09:00:00,2024-11-26 10:00:00,1261
fukui-station-east-entrance,Person,2024-11-26 10:00:00,2024-11-26 11:00:00,1115
fukui-station-east-entrance,Person,2024-11-26 11:00:00,2024-11-26 12:00:00,1058
fukui-station-east-entrance,Person,2024-11-26 12:00:00,2024-11-26 13:00:00,1453
fukui-station-east-entrance,Person,2024-11-26 13:00:00,2024-11-26 14:00:00,1042
fukui-station-east-entrance,Person,2024-11-26 14:00:00,2024-11-26 15:00:00,1105
fukui-station-east-entrance,Person,2024-11-26 15:00:00,2024-11-26 16:00:00,1206
fukui-station-east-entrance,Person,2024-11-26 16:00:00,2024-11-26 17:00:00,1677
fukui-station-east-entrance,Person,2024-11-26 17:00:00,2024-11-26 18:00:00,1138
fukui-station-east-entrance,Person,2024-11-26 18:00:00,2024-11-26 19:00:00,745
fukui-station-east-entrance,Person,2024-11-26 19:00:00,2024-11-26 20:00:00,165
fukui-station-east-entrance,Person,2024-11-26 20:00:00,2024-11-26 21:00:00,134
fukui-station-east-entrance,Person,2024-11-26 21:00:00,2024-11-26 22:00:00,90
fukui-station-east-entrance,Person,2024-11-26 22:00:00,2024-11-26 23:00:00,45
fukui-station-east-entrance,Person,2024-11-26 23:00:00,2024-11-27 00:00:00,1
