placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-15 00:00:00,2024-11-15 01:00:00,0
fukui-station-east-entrance,Person,2024-11-15 01:00:00,2024-11-15 02:00:00,0
fukui-station-east-entrance,Person,2024-11-15 02:00:00,2024-11-15 03:00:00,0
fukui-station-east-entrance,Person,2024-11-15 03:00:00,2024-11-15 04:00:00,0
fukui-station-east-entrance,Person,2024-11-15 04:00:00,2024-11-15 05:00:00,0
fukui-station-east-entrance,Person,2024-11-15 05:00:00,2024-11-15 06:00:00,34
fukui-station-east-entrance,Person,2024-11-15 06:00:00,2024-11-15 07:00:00,167
fukui-station-east-entrance,Person,2024-11-15 07:00:00,2024-11-15 08:00:00,301
fukui-station-east-entrance,Person,2024-11-15 08:00:00,2024-11-15 09:00:00,689
fukui-station-east-entrance,Person,2024-11-15 09:00:00,2024-11-15 10:00:00,1058
fukui-station-east-entrance,Person,2024-11-15 10:00:00,2024-11-15 11:00:00,1264
fukui-station-east-entrance,Person,2024-11-15 11:00:00,2024-11-15 12:00:00,1465
fukui-station-east-entrance,Person,2024-11-15 12:00:00,2024-11-15 13:00:00,1263
fukui-station-east-entrance,Person,2024-11-15 13:00:00,2024-11-15 14:00:00,1196
fukui-station-east-entrance,Person,2024-11-15 14:00:00,2024-11-15 15:00:00,1257
fukui-station-east-entrance,Person,2024-11-15 15:00:00,2024-11-15 16:00:00,1531
fukui-station-east-entrance,Person,2024-11-15 16:00:00,2024-11-15 17:00:00,1755
fukui-station-east-entrance,Person,2024-11-15 17:00:00,2024-11-15 18:00:00,1265
fukui-station-east-entrance,Person,2024-11-15 18:00:00,2024-11-15 19:00:00,1002
fukui-station-east-entrance,Person,2024-11-15 19:00:00,2024-11-15 20:00:00,363
fukui-station-east-entrance,Person,2024-11-15 20:00:00,2024-11-15 21:00:00,243
fukui-station-east-entrance,Person,2024-11-15 21:00:00,2024-11-15 22:00:00,195
fukui-station-east-entrance,Person,2024-11-15 22:00:00,2024-11-15 23:00:00,109
fukui-station-east-entrance,Person,2024-11-15 23:00:00,2024-11-16 00:00:00,13
