placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-05 00:00:00,2024-11-05 01:00:00,0
fukui-station-east-entrance,Person,2024-11-05 01:00:00,2024-11-05 02:00:00,0
fukui-station-east-entrance,Person,2024-11-05 02:00:00,2024-11-05 03:00:00,0
fukui-station-east-entrance,Person,2024-11-05 03:00:00,2024-11-05 04:00:00,0
fukui-station-east-entrance,Person,2024-11-05 04:00:00,2024-11-05 05:00:00,0
fukui-station-east-entrance,Person,2024-11-05 05:00:00,2024-11-05 06:00:00,34
fukui-station-east-entrance,Person,2024-11-05 06:00:00,2024-11-05 07:00:00,165
fukui-station-east-entrance,Person,2024-11-05 07:00:00,2024-11-05 08:00:00,265
fukui-station-east-entrance,Person,2024-11-05 08:00:00,2024-11-05 09:00:00,522
fukui-station-east-entrance,Person,2024-11-05 09:00:00,2024-11-05 10:00:00,1137
fukui-station-east-entrance,Person,2024-11-05 10:00:00,2024-11-05 11:00:00,1085
fukui-station-east-entrance,Person,2024-11-05 11:00:00,2024-11-05 12:00:00,1048
fukui-station-east-entrance,Person,2024-11-05 12:00:00,2024-11-05 13:00:00,1111
fukui-station-east-entrance,Person,2024-11-05 13:00:00,2024-11-05 14:00:00,1047
fukui-station-east-entrance,Person,2024-11-05 14:00:00,2024-11-05 15:00:00,1033
fukui-station-east-entrance,Person,2024-11-05 15:00:00,2024-11-05 16:00:00,1234
fukui-station-east-entrance,Person,2024-11-05 16:00:00,2024-11-05 17:00:00,1178
fukui-station-east-entrance,Person,2024-11-05 17:00:00,2024-11-05 18:00:00,890
fukui-station-east-entrance,Person,2024-11-05 18:00:00,2024-11-05 19:00:00,462
fukui-station-east-entrance,Person,2024-11-05 19:00:00,2024-11-05 20:00:00,280
fukui-station-east-entrance,Person,2024-11-05 20:00:00,2024-11-05 21:00:00,219
fukui-station-east-entrance,Person,2024-11-05 21:00:00,2024-11-05 22:00:00,86
fukui-station-east-entrance,Person,2024-11-05 22:00:00,2024-11-05 23:00:00,51
fukui-station-east-entrance,Person,2024-11-05 23:00:00,2024-11-06 00:00:00,3
