placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-11-04 00:00:00,2024-11-04 01:00:00,0
fukui-station-east-entrance,Person,2024-11-04 01:00:00,2024-11-04 02:00:00,0
fukui-station-east-entrance,Person,2024-11-04 02:00:00,2024-11-04 03:00:00,0
fukui-station-east-entrance,Person,2024-11-04 03:00:00,2024-11-04 04:00:00,0
fukui-station-east-entrance,Person,2024-11-04 04:00:00,2024-11-04 05:00:00,0
fukui-station-east-entrance,Person,2024-11-04 05:00:00,2024-11-04 06:00:00,33
fukui-station-east-entrance,Person,2024-11-04 06:00:00,2024-11-04 07:00:00,248
fukui-station-east-entrance,Person,2024-11-04 07:00:00,2024-11-04 08:00:00,400
fukui-station-east-entrance,Person,2024-11-04 08:00:00,2024-11-04 09:00:00,920
fukui-station-east-entrance,Person,2024-11-04 09:00:00,2024-11-04 10:00:00,1598
fukui-station-east-entrance,Person,2024-11-04 10:00:00,2024-11-04 11:00:00,1463
fukui-station-east-entrance,Person,2024-11-04 11:00:00,2024-11-04 12:00:00,1665
fukui-station-east-entrance,Person,2024-11-04 12:00:00,2024-11-04 13:00:00,1823
fukui-station-east-entrance,Person,2024-11-04 13:00:00,2024-11-04 14:00:00,1494
fukui-station-east-entrance,Person,2024-11-04 14:00:00,2024-11-04 15:00:00,1669
fukui-station-east-entrance,Person,2024-11-04 15:00:00,2024-11-04 16:00:00,1924
fukui-station-east-entrance,Person,2024-11-04 16:00:00,2024-11-04 17:00:00,1688
fukui-station-east-entrance,Person,2024-11-04 17:00:00,2024-11-04 18:00:00,1003
fukui-station-east-entrance,Person,2024-11-04 18:00:00,2024-11-04 19:00:00,798
fukui-station-east-entrance,Person,2024-11-04 19:00:00,2024-11-04 20:00:00,408
fukui-station-east-entrance,Person,2024-11-04 20:00:00,2024-11-04 21:00:00,247
fukui-station-east-entrance,Person,2024-11-04 21:00:00,2024-11-04 22:00:00,117
fukui-station-east-entrance,Person,2024-11-04 22:00:00,2024-11-04 23:00:00,48
fukui-station-east-entrance,Person,2024-11-04 23:00:00,2024-11-05 00:00:00,2
