placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-22 00:00:00,2024-12-22 01:00:00,0
fukui-station-east-entrance,Person,2024-12-22 01:00:00,2024-12-22 02:00:00,0
fukui-station-east-entrance,Person,2024-12-22 02:00:00,2024-12-22 03:00:00,0
fukui-station-east-entrance,Person,2024-12-22 03:00:00,2024-12-22 04:00:00,2
fukui-station-east-entrance,Person,2024-12-22 04:00:00,2024-12-22 05:00:00,0
fukui-station-east-entrance,Person,2024-12-22 05:00:00,2024-12-22 06:00:00,37
fukui-station-east-entrance,Person,2024-12-22 06:00:00,2024-12-22 07:00:00,116
fukui-station-east-entrance,Person,2024-12-22 07:00:00,2024-12-22 08:00:00,140
fukui-station-east-entrance,Person,2024-12-22 08:00:00,2024-12-22 09:00:00,343
fukui-station-east-entrance,Person,2024-12-22 09:00:00,2024-12-22 10:00:00,641
fukui-station-east-entrance,Person,2024-12-22 10:00:00,2024-12-22 11:00:00,615
fukui-station-east-entrance,Person,2024-12-22 11:00:00,2024-12-22 12:00:00,850
fukui-station-east-entrance,Person,2024-12-22 12:00:00,2024-12-22 13:00:00,854
fukui-station-east-entrance,Person,2024-12-22 13:00:00,2024-12-22 14:00:00,942
fukui-station-east-entrance,Person,2024-12-22 14:00:00,2024-12-22 15:00:00,995
fukui-station-east-entrance,Person,2024-12-22 15:00:00,2024-12-22 16:00:00,1066
fukui-station-east-entrance,Person,2024-12-22 16:00:00,2024-12-22 17:00:00,837
fukui-station-east-entrance,Person,2024-12-22 17:00:00,2024-12-22 18:00:00,784
fukui-station-east-entrance,Person,2024-12-22 18:00:00,2024-12-22 19:00:00,651
fukui-station-east-entrance,Person,2024-12-22 19:00:00,2024-12-22 20:00:00,244
fukui-station-east-entrance,Person,2024-12-22 20:00:00,2024-12-22 21:00:00,187
fukui-station-east-entrance,Person,2024-12-22 21:00:00,2024-12-22 22:00:00,74
fukui-station-east-entrance,Person,2024-12-22 22:00:00,2024-12-22 23:00:00,33
fukui-station-east-entrance,Person,2024-12-22 23:00:00,2024-12-23 00:00:00,0
