placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-08 00:00:00,2024-12-08 01:00:00,0
fukui-station-east-entrance,Person,2024-12-08 01:00:00,2024-12-08 02:00:00,0
fukui-station-east-entrance,Person,2024-12-08 02:00:00,2024-12-08 03:00:00,0
fukui-station-east-entrance,Person,2024-12-08 03:00:00,2024-12-08 04:00:00,0
fukui-station-east-entrance,Person,2024-12-08 04:00:00,2024-12-08 05:00:00,0
fukui-station-east-entrance,Person,2024-12-08 05:00:00,2024-12-08 06:00:00,39
fukui-station-east-entrance,Person,2024-12-08 06:00:00,2024-12-08 07:00:00,114
fukui-station-east-entrance,Person,2024-12-08 07:00:00,2024-12-08 08:00:00,179
fukui-station-east-entrance,Person,2024-12-08 08:00:00,2024-12-08 09:00:00,461
fukui-station-east-entrance,Person,2024-12-08 09:00:00,2024-12-08 10:00:00,1045
fukui-station-east-entrance,Person,2024-12-08 10:00:00,2024-12-08 11:00:00,1329
fukui-station-east-entrance,Person,2024-12-08 11:00:00,2024-12-08 12:00:00,1330
fukui-station-east-entrance,Person,2024-12-08 12:00:00,2024-12-08 13:00:00,1298
fukui-station-east-entrance,Person,2024-12-08 13:00:00,2024-12-08 14:00:00,1454
fukui-station-east-entrance,Person,2024-12-08 14:00:00,2024-12-08 15:00:00,1465
fukui-station-east-entrance,Person,2024-12-08 15:00:00,2024-12-08 16:00:00,1577
fukui-station-east-entrance,Person,2024-12-08 16:00:00,2024-12-08 17:00:00,1342
fukui-station-east-entrance,Person,2024-12-08 17:00:00,2024-12-08 18:00:00,879
fukui-station-east-entrance,Person,2024-12-08 18:00:00,2024-12-08 19:00:00,615
fukui-station-east-entrance,Person,2024-12-08 19:00:00,2024-12-08 20:00:00,261
fukui-station-east-entrance,Person,2024-12-08 20:00:00,2024-12-08 21:00:00,92
fukui-station-east-entrance,Person,2024-12-08 21:00:00,2024-12-08 22:00:00,118
fukui-station-east-entrance,Person,2024-12-08 22:00:00,2024-12-08 23:00:00,66
fukui-station-east-entrance,Person,2024-12-08 23:00:00,2024-12-09 00:00:00,3
