placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-07 00:00:00,2024-12-07 01:00:00,0
fukui-station-east-entrance,Person,2024-12-07 01:00:00,2024-12-07 02:00:00,0
fukui-station-east-entrance,Person,2024-12-07 02:00:00,2024-12-07 03:00:00,0
fukui-station-east-entrance,Person,2024-12-07 03:00:00,2024-12-07 04:00:00,0
fukui-station-east-entrance,Person,2024-12-07 04:00:00,2024-12-07 05:00:00,0
fukui-station-east-entrance,Person,2024-12-07 05:00:00,2024-12-07 06:00:00,32
fukui-station-east-entrance,Person,2024-12-07 06:00:00,2024-12-07 07:00:00,193
fukui-station-east-entrance,Person,2024-12-07 07:00:00,2024-12-07 08:00:00,255
fukui-station-east-entrance,Person,2024-12-07 08:00:00,2024-12-07 09:00:00,708
fukui-station-east-entrance,Person,2024-12-07 09:00:00,2024-12-07 10:00:00,1089
fukui-station-east-entrance,Person,2024-12-07 10:00:00,2024-12-07 11:00:00,1726
fukui-station-east-entrance,Person,2024-12-07 11:00:00,2024-12-07 12:00:00,1937
fukui-station-east-entrance,Person,2024-12-07 12:00:00,2024-12-07 13:00:00,2065
fukui-station-east-entrance,Person,2024-12-07 13:00:00,2024-12-07 14:00:00,2003
fukui-station-east-entrance,Person,2024-12-07 14:00:00,2024-12-07 15:00:00,2039
fukui-station-east-entrance,Person,2024-12-07 15:00:00,2024-12-07 16:00:00,1638
fukui-station-east-entrance,Person,2024-12-07 16:00:00,2024-12-07 17:00:00,1283
fukui-station-east-entrance,Person,2024-12-07 17:00:00,2024-12-07 18:00:00,1075
fukui-station-east-entrance,Person,2024-12-07 18:00:00,2024-12-07 19:00:00,981
fukui-station-east-entrance,Person,2024-12-07 19:00:00,2024-12-07 20:00:00,284
fukui-station-east-entrance,Person,2024-12-07 20:00:00,2024-12-07 21:00:00,261
fukui-station-east-entrance,Person,2024-12-07 21:00:00,2024-12-07 22:00:00,203
fukui-station-east-entrance,Person,2024-12-07 22:00:00,2024-12-07 23:00:00,187
fukui-station-east-entrance,Person,2024-12-07 23:00:00,2024-12-08 00:00:00,0
