placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-11 00:00:00,2024-12-11 01:00:00,0
fukui-station-east-entrance,Person,2024-12-11 01:00:00,2024-12-11 02:00:00,0
fukui-station-east-entrance,Person,2024-12-11 02:00:00,2024-12-11 03:00:00,0
fukui-station-east-entrance,Person,2024-12-11 03:00:00,2024-12-11 04:00:00,0
fukui-station-east-entrance,Person,2024-12-11 04:00:00,2024-12-11 05:00:00,2
fukui-station-east-entrance,Person,2024-12-11 05:00:00,2024-12-11 06:00:00,30
fukui-station-east-entrance,Person,2024-12-11 06:00:00,2024-12-11 07:00:00,74
fukui-station-east-entrance,Person,2024-12-11 07:00:00,2024-12-11 08:00:00,225
fukui-station-east-entrance,Person,2024-12-11 08:00:00,2024-12-11 09:00:00,413
fukui-station-east-entrance,Person,2024-12-11 09:00:00,2024-12-11 10:00:00,632
fukui-station-east-entrance,Person,2024-12-11 10:00:00,2024-12-11 11:00:00,823
fukui-station-east-entrance,Person,2024-12-11 11:00:00,2024-12-11 12:00:00,795
fukui-station-east-entrance,Person,2024-12-11 12:00:00,2024-12-11 13:00:00,1016
fukui-station-east-entrance,Person,2024-12-11 13:00:00,2024-12-11 14:00:00,936
fukui-station-east-entrance,Person,2024-12-11 14:00:00,2024-12-11 15:00:00,809
fukui-station-east-entrance,Person,2024-12-11 15:00:00,2024-12-11 16:00:00,731
fukui-station-east-entrance,Person,2024-12-11 16:00:00,2024-12-11 17:00:00,834
fukui-station-east-entrance,Person,2024-12-11 17:00:00,2024-12-11 18:00:00,702
fukui-station-east-entrance,Person,2024-12-11 18:00:00,2024-12-11 19:00:00,509
fukui-station-east-entrance,Person,2024-12-11 19:00:00,2024-12-11 20:00:00,159
fukui-station-east-entrance,Person,2024-12-11 20:00:00,2024-12-11 21:00:00,182
fukui-station-east-entrance,Person,2024-12-11 21:00:00,2024-12-11 22:00:00,112
fukui-station-east-entrance,Person,2024-12-11 22:00:00,2024-12-11 23:00:00,46
fukui-station-east-entrance,Person,2024-12-11 23:00:00,2024-12-12 00:00:00,3
