placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-03 00:00:00,2024-12-03 01:00:00,0
fukui-station-east-entrance,Person,2024-12-03 01:00:00,2024-12-03 02:00:00,0
fukui-station-east-entrance,Person,2024-12-03 02:00:00,2024-12-03 03:00:00,0
fukui-station-east-entrance,Person,2024-12-03 03:00:00,2024-12-03 04:00:00,0
fukui-station-east-entrance,Person,2024-12-03 04:00:00,2024-12-03 05:00:00,0
fukui-station-east-entrance,Person,2024-12-03 05:00:00,2024-12-03 06:00:00,37
fukui-station-east-entrance,Person,2024-12-03 06:00:00,2024-12-03 07:00:00,128
fukui-station-east-entrance,Person,2024-12-03 07:00:00,2024-12-03 08:00:00,335
fukui-station-east-entrance,Person,2024-12-03 08:00:00,2024-12-03 09:00:00,463
fukui-station-east-entrance,Person,2024-12-03 09:00:00,2024-12-03 10:00:00,730
fukui-station-east-entrance,Person,2024-12-03 10:00:00,2024-12-03 11:00:00,765
fukui-station-east-entrance,Person,2024-12-03 11:00:00,2024-12-03 12:00:00,801
fukui-station-east-entrance,Person,2024-12-03 12:00:00,2024-12-03 13:00:00,1204
fukui-station-east-entrance,Person,2024-12-03 13:00:00,2024-12-03 14:00:00,950
fukui-station-east-entrance,Person,2024-12-03 14:00:00,2024-12-03 15:00:00,1030
fukui-station-east-entrance,Person,2024-12-03 15:00:00,2024-12-03 16:00:00,955
fukui-station-east-entrance,Person,2024-12-03 16:00:00,2024-12-03 17:00:00,887
fukui-station-east-entrance,Person,2024-12-03 17:00:00,2024-12-03 18:00:00,755
fukui-station-east-entrance,Person,2024-12-03 18:00:00,2024-12-03 19:00:00,411
fukui-station-east-entrance,Person,2024-12-03 19:00:00,2024-12-03 20:00:00,159
fukui-station-east-entrance,Person,2024-12-03 20:00:00,2024-12-03 21:00:00,108
fukui-station-east-entrance,Person,2024-12-03 21:00:00,2024-12-03 22:00:00,103
fukui-station-east-entrance,Person,2024-12-03 22:00:00,2024-12-03 23:00:00,30
fukui-station-east-entrance,Person,2024-12-03 23:00:00,2024-12-04 00:00:00,4
