placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-20 00:00:00,2024-12-20 01:00:00,0
fukui-station-east-entrance,Person,2024-12-20 01:00:00,2024-12-20 02:00:00,0
fukui-station-east-entrance,Person,2024-12-20 02:00:00,2024-12-20 03:00:00,0
fukui-station-east-entrance,Person,2024-12-20 03:00:00,2024-12-20 04:00:00,0
fukui-station-east-entrance,Person,2024-12-20 04:00:00,2024-12-20 05:00:00,0
fukui-station-east-entrance,Person,2024-12-20 05:00:00,2024-12-20 06:00:00,18
fukui-station-east-entrance,Person,2024-12-20 06:00:00,2024-12-20 07:00:00,92
fukui-station-east-entrance,Person,2024-12-20 07:00:00,2024-12-20 08:00:00,234
fukui-station-east-entrance,Person,2024-12-20 08:00:00,2024-12-20 09:00:00,507
fukui-station-east-entrance,Person,2024-12-20 09:00:00,2024-12-20 10:00:00,626
fukui-station-east-entrance,Person,2024-12-20 10:00:00,2024-12-20 11:00:00,512
fukui-station-east-entrance,Person,2024-12-20 11:00:00,2024-12-20 12:00:00,872
fukui-station-east-entrance,Person,2024-12-20 12:00:00,2024-12-20 13:00:00,793
fukui-station-east-entrance,Person,2024-12-20 13:00:00,2024-12-20 14:00:00,869
fukui-station-east-entrance,Person,2024-12-20 14:00:00,2024-12-20 15:00:00,891
fukui-station-east-entrance,Person,2024-12-20 15:00:00,2024-12-20 16:00:00,1091
fukui-station-east-entrance,Person,2024-12-20 16:00:00,2024-12-20 17:00:00,1046
fukui-station-east-entrance,Person,2024-12-20 17:00:00,2024-12-20 18:00:00,852
fukui-station-east-entrance,Person,2024-12-20 18:00:00,2024-12-20 19:00:00,1069
fukui-station-east-entrance,Person,2024-12-20 19:00:00,2024-12-20 20:00:00,174
fukui-station-east-entrance,Person,2024-12-20 20:00:00,2024-12-20 21:00:00,193
fukui-station-east-entrance,Person,2024-12-20 21:00:00,2024-12-20 22:00:00,240
fukui-station-east-entrance,Person,2024-12-20 22:00:00,2024-12-20 23:00:00,133
fukui-station-east-entrance,Person,2024-12-20 23:00:00,2024-12-21 00:00:00,1
