placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-10 00:00:00,2024-12-10 01:00:00,0
fukui-station-east-entrance,Person,2024-12-10 01:00:00,2024-12-10 02:00:00,0
fukui-station-east-entrance,Person,2024-12-10 02:00:00,2024-12-10 03:00:00,0
fukui-station-east-entrance,Person,2024-12-10 03:00:00,2024-12-10 04:00:00,0
fukui-station-east-entrance,Person,2024-12-10 04:00:00,2024-12-10 05:00:00,0
fukui-station-east-entrance,Person,2024-12-10 05:00:00,2024-12-10 06:00:00,35
fukui-station-east-entrance,Person,2024-12-10 06:00:00,2024-12-10 07:00:00,130
fukui-station-east-entrance,Person,2024-12-10 07:00:00,2024-12-10 08:00:00,208
fukui-station-east-entrance,Person,2024-12-10 08:00:00,2024-12-10 09:00:00,423
fukui-station-east-entrance,Person,2024-12-10 09:00:00,2024-12-10 10:00:00,827
fukui-station-east-entrance,Person,2024-12-10 10:00:00,2024-12-10 11:00:00,643
fukui-station-east-entrance,Person,2024-12-10 11:00:00,2024-12-10 12:00:00,628
fukui-station-east-entrance,Person,2024-12-10 12:00:00,2024-12-10 13:00:00,778
fukui-station-east-entrance,Person,2024-12-10 13:00:00,2024-12-10 14:00:00,723
fukui-station-east-entrance,Person,2024-12-10 14:00:00,2024-12-10 15:00:00,773
fukui-station-east-entrance,Person,2024-12-10 15:00:00,2024-12-10 16:00:00,1030
fukui-station-east-entrance,Person,2024-12-10 16:00:00,2024-12-10 17:00:00,728
fukui-station-east-entrance,Person,2024-12-10 17:00:00,2024-12-10 18:00:00,571
fukui-station-east-entrance,Person,2024-12-10 18:00:00,2024-12-10 19:00:00,582
fukui-station-east-entrance,Person,2024-12-10 19:00:00,2024-12-10 20:00:00,190
fukui-station-east-entrance,Person,2024-12-10 20:00:00,2024-12-10 21:00:00,152
fukui-station-east-entrance,Person,2024-12-10 21:00:00,2024-12-10 22:00:00,126
fukui-station-east-entrance,Person,2024-12-10 22:00:00,2024-12-10 23:00:00,30
fukui-station-east-entrance,Person,2024-12-10 23:00:00,2024-12-11 00:00:00,7
