placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-17 00:00:00,2024-12-17 01:00:00,0
fukui-station-east-entrance,Person,2024-12-17 01:00:00,2024-12-17 02:00:00,0
fukui-station-east-entrance,Person,2024-12-17 02:00:00,2024-12-17 03:00:00,0
fukui-station-east-entrance,Person,2024-12-17 03:00:00,2024-12-17 04:00:00,0
fukui-station-east-entrance,Person,2024-12-17 04:00:00,2024-12-17 05:00:00,0
fukui-station-east-entrance,Person,2024-12-17 05:00:00,2024-12-17 06:00:00,24
fukui-station-east-entrance,Person,2024-12-17 06:00:00,2024-12-17 07:00:00,101
fukui-station-east-entrance,Person,2024-12-17 07:00:00,2024-12-17 08:00:00,190
fukui-station-east-entrance,Person,2024-12-17 08:00:00,2024-12-17 09:00:00,454
fukui-station-east-entrance,Person,2024-12-17 09:00:00,2024-12-17 10:00:00,710
fukui-station-east-entrance,Person,2024-12-17 10:00:00,2024-12-17 11:00:00,698
fukui-station-east-entrance,Person,2024-12-17 11:00:00,2024-12-17 12:00:00,636
fukui-station-east-entrance,Person,2024-12-17 12:00:00,2024-12-17 13:00:00,685
fukui-station-east-entrance,Person,2024-12-17 13:00:00,2024-12-17 14:00:00,925
fukui-station-east-entrance,Person,2024-12-17 14:00:00,2024-12-17 15:00:00,784
fukui-station-east-entrance,Person,2024-12-17 15:00:00,2024-12-17 16:00:00,899
fukui-station-east-entrance,Person,2024-12-17 16:00:00,2024-12-17 17:00:00,583
fukui-station-east-entrance,Person,2024-12-17 17:00:00,2024-12-17 18:00:00,490
fukui-station-east-entrance,Person,2024-12-17 18:00:00,2024-12-17 19:00:00,421
fukui-station-east-entrance,Person,2024-12-17 19:00:00,2024-12-17 20:00:00,227
fukui-station-east-entrance,Person,2024-12-17 20:00:00,2024-12-17 21:00:00,106
fukui-station-east-entrance,Person,2024-12-17 21:00:00,2024-12-17 22:00:00,92
fukui-station-east-entrance,Person,2024-12-17 22:00:00,2024-12-17 23:00:00,78
fukui-station-east-entrance,Person,2024-12-17 23:00:00,2024-12-18 00:00:00,0
