placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-04 00:00:00,2024-12-04 01:00:00,0
fukui-station-east-entrance,Person,2024-12-04 01:00:00,2024-12-04 02:00:00,0
fukui-station-east-entrance,Person,2024-12-04 02:00:00,2024-12-04 03:00:00,0
fukui-station-east-entrance,Person,2024-12-04 03:00:00,2024-12-04 04:00:00,0
fukui-station-east-entrance,Person,2024-12-04 04:00:00,2024-12-04 05:00:00,0
fukui-station-east-entrance,Person,2024-12-04 05:00:00,2024-12-04 06:00:00,44
fukui-station-east-entrance,Person,2024-12-04 06:00:00,2024-12-04 07:00:00,139
fukui-station-east-entrance,Person,2024-12-04 07:00:00,2024-12-04 08:00:00,245
fukui-station-east-entrance,Person,2024-12-04 08:00:00,2024-12-04 09:00:00,488
fukui-station-east-entrance,Person,2024-12-04 09:00:00,2024-12-04 10:00:00,796
fukui-station-east-entrance,Person,2024-12-04 10:00:00,2024-12-04 11:00:00,732
fukui-station-east-entrance,Person,2024-12-04 11:00:00,2024-12-04 12:00:00,888
fukui-station-east-entrance,Person,2024-12-04 12:00:00,2024-12-04 13:00:00,1165
fukui-station-east-entrance,Person,2024-12-04 13:00:00,2024-12-04 14:00:00,1023
fukui-station-east-entrance,Person,2024-12-04 14:00:00,2024-12-04 15:00:00,883
fukui-station-east-entrance,Person,2024-12-04 15:00:00,2024-12-04 16:00:00,932
fukui-station-east-entrance,Person,2024-12-04 16:00:00,2024-12-04 17:00:00,836
fukui-station-east-entrance,Person,2024-12-04 17:00:00,2024-12-04 18:00:00,776
fukui-station-east-entrance,Person,2024-12-04 18:00:00,2024-12-04 19:00:00,487
fukui-station-east-entrance,Person,2024-12-04 19:00:00,2024-12-04 20:00:00,242
fukui-station-east-entrance,Person,2024-12-04 20:00:00,2024-12-04 21:00:00,186
fukui-station-east-entrance,Person,2024-12-04 21:00:00,2024-12-04 22:00:00,98
fukui-station-east-entrance,Person,2024-12-04 22:00:00,2024-12-04 23:00:00,77
fukui-station-east-entrance,Person,2024-12-04 23:00:00,2024-12-05 00:00:00,13
