placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-02 00:00:00,2024-12-02 01:00:00,0
fukui-station-east-entrance,Person,2024-12-02 01:00:00,2024-12-02 02:00:00,0
fukui-station-east-entrance,Person,2024-12-02 02:00:00,2024-12-02 03:00:00,0
fukui-station-east-entrance,Person,2024-12-02 03:00:00,2024-12-02 04:00:00,0
fukui-station-east-entrance,Person,2024-12-02 04:00:00,2024-12-02 05:00:00,0
fukui-station-east-entrance,Person,2024-12-02 05:00:00,2024-12-02 06:00:00,40
fukui-station-east-entrance,Person,2024-12-02 06:00:00,2024-12-02 07:00:00,132
fukui-station-east-entrance,Person,2024-12-02 07:00:00,2024-12-02 08:00:00,285
fukui-station-east-entrance,Person,2024-12-02 08:00:00,2024-12-02 09:00:00,400
fukui-station-east-entrance,Person,2024-12-02 09:00:00,2024-12-02 10:00:00,723
fukui-station-east-entrance,Person,2024-12-02 10:00:00,2024-12-02 11:00:00,804
fukui-station-east-entrance,Person,2024-12-02 11:00:00,2024-12-02 12:00:00,912
fukui-station-east-entrance,Person,2024-12-02 12:00:00,2024-12-02 13:00:00,1138
fukui-station-east-entrance,Person,2024-12-02 13:00:00,2024-12-02 14:00:00,652
fukui-station-east-entrance,Person,2024-12-02 14:00:00,2024-12-02 15:00:00,1145
fukui-station-east-entrance,Person,2024-12-02 15:00:00,2024-12-02 16:00:00,1041
fukui-station-east-entrance,Person,2024-12-02 16:00:00,2024-12-02 17:00:00,1015
fukui-station-east-entrance,Person,2024-12-02 17:00:00,2024-12-02 18:00:00,534
fukui-station-east-entrance,Person,2024-12-02 18:00:00,2024-12-02 19:00:00,623
fukui-station-east-entrance,Person,2024-12-02 19:00:00,2024-12-02 20:00:00,273
fukui-station-east-entrance,Person,2024-12-02 20:00:00,2024-12-02 21:00:00,178
fukui-station-east-entrance,Person,2024-12-02 21:00:00,2024-12-02 22:00:00,98
fukui-station-east-entrance,Person,2024-12-02 22:00:00,2024-12-02 23:00:00,43
fukui-station-east-entrance,Person,2024-12-02 23:00:00,2024-12-03 00:00:00,12
