placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-09 00:00:00,2024-12-09 01:00:00,0
fukui-station-east-entrance,Person,2024-12-09 01:00:00,2024-12-09 02:00:00,0
fukui-station-east-entrance,Person,2024-12-09 02:00:00,2024-12-09 03:00:00,0
fukui-station-east-entrance,Person,2024-12-09 03:00:00,2024-12-09 04:00:00,0
fukui-station-east-entrance,Person,2024-12-09 04:00:00,2024-12-09 05:00:00,0
fukui-station-east-entrance,Person,2024-12-09 05:00:00,2024-12-09 06:00:00,40
fukui-station-east-entrance,Person,2024-12-09 06:00:00,2024-12-09 07:00:00,94
fukui-station-east-entrance,Person,2024-12-09 07:00:00,2024-12-09 08:00:00,276
fukui-station-east-entrance,Person,2024-12-09 08:00:00,2024-12-09 09:00:00,445
fukui-station-east-entrance,Person,2024-12-09 09:00:00,2024-12-09 10:00:00,654
fukui-station-east-entrance,Person,2024-12-09 10:00:00,2024-12-09 11:00:00,900
fukui-station-east-entrance,Person,2024-12-09 11:00:00,2024-12-09 12:00:00,655
fukui-station-east-entrance,Person,2024-12-09 12:00:00,2024-12-09 13:00:00,716
fukui-station-east-entrance,Person,2024-12-09 13:00:00,2024-12-09 14:00:00,766
fukui-station-east-entrance,Person,2024-12-09 14:00:00,2024-12-09 15:00:00,708
fukui-station-east-entrance,Person,2024-12-09 15:00:00,2024-12-09 16:00:00,914
fukui-station-east-entrance,Person,2024-12-09 16:00:00,2024-12-09 17:00:00,761
fukui-station-east-entrance,Person,2024-12-09 17:00:00,2024-12-09 18:00:00,528
fukui-station-east-entrance,Person,2024-12-09 18:00:00,2024-12-09 19:00:00,559
fukui-station-east-entrance,Person,2024-12-09 19:00:00,2024-12-09 20:00:00,193
fukui-station-east-entrance,Person,2024-12-09 20:00:00,2024-12-09 21:00:00,163
fukui-station-east-entrance,Person,2024-12-09 21:00:00,2024-12-09 22:00:00,84
fukui-station-east-entrance,Person,2024-12-09 22:00:00,2024-12-09 23:00:00,35
fukui-station-east-entrance,Person,2024-12-09 23:00:00,2024-12-10 00:00:00,9
