placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-10-29 00:00:00,2024-10-29 01:00:00,0
fukui-station-east-entrance,Person,2024-10-29 01:00:00,2024-10-29 02:00:00,0
fukui-station-east-entrance,Person,2024-10-29 02:00:00,2024-10-29 03:00:00,0
fukui-station-east-entrance,Person,2024-10-29 03:00:00,2024-10-29 04:00:00,0
fukui-station-east-entrance,Person,2024-10-29 04:00:00,2024-10-29 05:00:00,0
fukui-station-east-entrance,Person,2024-10-29 05:00:00,2024-10-29 06:00:00,51
fukui-station-east-entrance,Person,2024-10-29 06:00:00,2024-10-29 07:00:00,144
fukui-station-east-entrance,Person,2024-10-29 07:00:00,2024-10-29 08:00:00,313
fukui-station-east-entrance,Person,2024-10-29 08:00:00,2024-10-29 09:00:00,595
fukui-station-east-entrance,Person,2024-10-29 09:00:00,2024-10-29 10:00:00,956
fukui-station-east-entrance,Person,2024-10-29 10:00:00,2024-10-29 11:00:00,1013
fukui-station-east-entrance,Person,2024-10-29 11:00:00,2024-10-29 12:00:00,1055
fukui-station-east-entrance,Person,2024-10-29 12:00:00,2024-10-29 13:00:00,1240
fukui-station-east-entrance,Person,2024-10-29 13:00:00,2024-10-29 14:00:00,1107
fukui-station-east-entrance,Person,2024-10-29 14:00:00,2024-10-29 15:00:00,1161
fukui-station-east-entrance,Person,2024-10-29 15:00:00,2024-10-29 16:00:00,1173
fukui-station-east-entrance,Person,2024-10-29 16:00:00,2024-10-29 17:00:00,1004
fukui-station-east-entrance,Person,2024-10-29 17:00:00,2024-10-29 18:00:00,763
fukui-station-east-entrance,Person,2024-10-29 18:00:00,2024-10-29 19:00:00,677
fukui-station-east-entrance,Person,2024-10-29 19:00:00,2024-10-29 20:00:00,297
fukui-station-east-entrance,Person,2024-10-29 20:00:00,2024-10-29 21:00:00,154
fukui-station-east-entrance,Person,2024-10-29 21:00:00,2024-10-29 22:00:00,94
fukui-station-east-entrance,Person,2024-10-29 22:00:00,2024-10-29 23:00:00,48
fukui-station-east-entrance,Person,2024-10-29 23:00:00,2024-10-30 00:00:00,2
