placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-10-31 00:00:00,2024-10-31 01:00:00,0
fukui-station-east-entrance,Person,2024-10-31 01:00:00,2024-10-31 02:00:00,0
fukui-station-east-entrance,Person,2024-10-31 02:00:00,2024-10-31 03:00:00,0
fukui-station-east-entrance,Person,2024-10-31 03:00:00,2024-10-31 04:00:00,0
fukui-station-east-entrance,Person,2024-10-31 04:00:00,2024-10-31 05:00:00,0
fukui-station-east-entrance,Person,2024-10-31 05:00:00,2024-10-31 06:00:00,44
fukui-station-east-entrance,Person,2024-10-31 06:00:00,2024-10-31 07:00:00,154
fukui-station-east-entrance,Person,2024-10-31 07:00:00,2024-10-31 08:00:00,359
fukui-station-east-entrance,Person,2024-10-31 08:00:00,2024-10-31 09:00:00,597
fukui-station-east-entrance,Person,2024-10-31 09:00:00,2024-10-31 10:00:00,925
fukui-station-east-entrance,Person,2024-10-31 10:00:00,2024-10-31 11:00:00,993
fukui-station-east-entrance,Person,2024-10-31 11:00:00,2024-10-31 12:00:00,810
fukui-station-east-entrance,Person,2024-10-31 12:00:00,2024-10-31 13:00:00,681
fukui-station-east-entrance,Person,2024-10-31 13:00:00,2024-10-31 14:00:00,631
fukui-station-east-entrance,Person,2024-10-31 14:00:00,2024-10-31 15:00:00,886
fukui-station-east-entrance,Person,2024-10-31 15:00:00,2024-10-31 16:00:00,940
fukui-station-east-entrance,Person,2024-10-31 16:00:00,2024-10-31 17:00:00,1046
fukui-station-east-entrance,Person,2024-10-31 17:00:00,2024-10-31 18:00:00,797
fukui-station-east-entrance,Person,2024-10-31 18:00:00,2024-10-31 19:00:00,623
fukui-station-east-entrance,Person,2024-10-31 19:00:00,2024-10-31 20:00:00,378
fukui-station-east-entrance,Person,2024-10-31 20:00:00,2024-10-31 21:00:00,427
fukui-station-east-entrance,Person,2024-10-31 21:00:00,2024-10-31 22:00:00,349
fukui-station-east-entrance,Person,2024-10-31 22:00:00,2024-10-31 23:00:00,123
fukui-station-east-entrance,Person,2024-10-31 23:00:00,2024-11-01 00:00:00,14
