placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-10-25 00:00:00,2024-10-25 01:00:00,0
fukui-station-east-entrance,Person,2024-10-25 01:00:00,2024-10-25 02:00:00,0
fukui-station-east-entrance,Person,2024-10-25 02:00:00,2024-10-25 03:00:00,0
fukui-station-east-entrance,Person,2024-10-25 03:00:00,2024-10-25 04:00:00,0
fukui-station-east-entrance,Person,2024-10-25 04:00:00,2024-10-25 05:00:00,0
fukui-station-east-entrance,Person,2024-10-25 05:00:00,2024-10-25 06:00:00,50
fukui-station-east-entrance,Person,2024-10-25 06:00:00,2024-10-25 07:00:00,167
fukui-station-east-entrance,Person,2024-10-25 07:00:00,2024-10-25 08:00:00,504
fukui-station-east-entrance,Person,2024-10-25 08:00:00,2024-10-25 09:00:00,754
fukui-station-east-entrance,Person,2024-10-25 09:00:00,2024-10-25 10:00:00,1101
fukui-station-east-entrance,Person,2024-10-25 10:00:00,2024-10-25 11:00:00,819
fukui-station-east-entrance,Person,2024-10-25 11:00:00,2024-10-25 12:00:00,874
fukui-station-east-entrance,Person,2024-10-25 12:00:00,2024-10-25 13:00:00,1134
fukui-station-east-entrance,Person,2024-10-25 13:00:00,2024-10-25 14:00:00,1006
fukui-station-east-entrance,Person,2024-10-25 14:00:00,2024-10-25 15:00:00,1142
fukui-station-east-entrance,Person,2024-10-25 15:00:00,2024-10-25 16:00:00,1403
fukui-station-east-entrance,Person,2024-10-25 16:00:00,2024-10-25 17:00:00,1148
fukui-station-east-entrance,Person,2024-10-25 17:00:00,2024-10-25 18:00:00,918
fukui-station-east-entrance,Person,2024-10-25 18:00:00,2024-10-25 19:00:00,737
fukui-station-east-entrance,Person,2024-10-25 19:00:00,2024-10-25 20:00:00,451
fukui-station-east-entrance,Person,2024-10-25 20:00:00,2024-10-25 21:00:00,385
fukui-station-east-entrance,Person,2024-10-25 21:00:00,2024-10-25 22:00:00,444
fukui-station-east-entrance,Person,2024-10-25 22:00:00,2024-10-25 23:00:00,123
fukui-station-east-entrance,Person,2024-10-25 23:00:00,2024-10-26 00:00:00,28
