placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-10-20 00:00:00,2024-10-20 01:00:00,0
fukui-station-east-entrance,Person,2024-10-20 01:00:00,2024-10-20 02:00:00,0
fukui-station-east-entrance,Person,2024-10-20 02:00:00,2024-10-20 03:00:00,0
fukui-station-east-entrance,Person,2024-10-20 03:00:00,2024-10-20 04:00:00,0
fukui-station-east-entrance,Person,2024-10-20 04:00:00,2024-10-20 05:00:00,0
fukui-station-east-entrance,Person,2024-10-20 05:00:00,2024-10-20 06:00:00,52
fukui-station-east-entrance,Person,2024-10-20 06:00:00,2024-10-20 07:00:00,266
fukui-station-east-entrance,Person,2024-10-20 07:00:00,2024-10-20 08:00:00,593
fukui-station-east-entrance,Person,2024-10-20 08:00:00,2024-10-20 09:00:00,118
fukui-station-east-entrance,Person,2024-10-20 09:00:00,2024-10-20 10:00:00,120
fukui-station-east-entrance,Person,2024-10-20 10:00:00,2024-10-20 11:00:00,0
fukui-station-east-entrance,Person,2024-10-20 11:00:00,2024-10-20 12:00:00,0
fukui-station-east-entrance,Person,2024-10-20 12:00:00,2024-10-20 13:00:00,0
fukui-station-east-entrance,Person,2024-10-20 13:00:00,2024-10-20 14:00:00,0
fukui-station-east-entrance,Person,2024-10-20 14:00:00,2024-10-20 15:00:00,0
fukui-station-east-entrance,Person,2024-10-20 15:00:00,2024-10-20 16:00:00,0
fukui-station-east-entrance,Person,2024-10-20 16:00:00,2024-10-20 17:00:00,0
fukui-station-east-entrance,Person,2024-10-20 17:00:00,2024-10-20 18:00:00,80
fukui-station-east-entrance,Person,2024-10-20 18:00:00,2024-10-20 19:00:00,136
fukui-station-east-entrance,Person,2024-10-20 19:00:00,2024-10-20 20:00:00,288
fukui-station-east-entrance,Person,2024-10-20 20:00:00,2024-10-20 21:00:00,228
fukui-station-east-entrance,Person,2024-10-20 21:00:00,2024-10-20 22:00:00,204
fukui-station-east-entrance,Person,2024-10-20 22:00:00,2024-10-20 23:00:00,102
fukui-station-east-entrance,Person,2024-10-20 23:00:00,2024-10-21 00:00:00,3
