placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-10-28 00:00:00,2024-10-28 01:00:00,0
fukui-station-east-entrance,Person,2024-10-28 01:00:00,2024-10-28 02:00:00,0
fukui-station-east-entrance,Person,2024-10-28 02:00:00,2024-10-28 03:00:00,0
fukui-station-east-entrance,Person,2024-10-28 03:00:00,2024-10-28 04:00:00,0
fukui-station-east-entrance,Person,2024-10-28 04:00:00,2024-10-28 05:00:00,0
fukui-station-east-entrance,Person,2024-10-28 05:00:00,2024-10-28 06:00:00,5
fukui-station-east-entrance,Person,2024-10-28 06:00:00,2024-10-28 07:00:00,111
fukui-station-east-entrance,Person,2024-10-28 07:00:00,2024-10-28 08:00:00,293
fukui-station-east-entrance,Person,2024-10-28 08:00:00,2024-10-28 09:00:00,442
fukui-station-east-entrance,Person,2024-10-28 09:00:00,2024-10-28 10:00:00,567
fukui-station-east-entrance,Person,2024-10-28 10:00:00,2024-10-28 11:00:00,297
fukui-station-east-entrance,Person,2024-10-28 11:00:00,2024-10-28 12:00:00,355
fukui-station-east-entrance,Person,2024-10-28 12:00:00,2024-10-28 13:00:00,529
fukui-station-east-entrance,Person,2024-10-28 13:00:00,2024-10-28 14:00:00,40
fukui-station-east-entrance,Person,2024-10-28 14:00:00,2024-10-28 15:00:00,71
fukui-station-east-entrance,Person,2024-10-28 15:00:00,2024-10-28 16:00:00,295
fukui-station-east-entrance,Person,2024-10-28 16:00:00,2024-10-28 17:00:00,607
fukui-station-east-entrance,Person,2024-10-28 17:00:00,2024-10-28 18:00:00,273
fukui-station-east-entrance,Person,2024-10-28 18:00:00,2024-10-28 19:00:00,0
fukui-station-east-entrance,Person,2024-10-28 19:00:00,2024-10-28 20:00:00,453
fukui-station-east-entrance,Person,2024-10-28 20:00:00,2024-10-28 21:00:00,194
fukui-station-east-entrance,Person,2024-10-28 21:00:00,2024-10-28 22:00:00,154
fukui-station-east-entrance,Person,2024-10-28 22:00:00,2024-10-28 23:00:00,47
fukui-station-east-entrance,Person,2024-10-28 23:00:00,2024-10-29 00:00:00,6
